time,series,value,projected
2024-01-01,Wages,5.0,0
2024-01-01,Benefits,3.0,0
2024-01-01,Taxes,2.0,0
2024-02-01,Wages,5.2,0
2024-02-01,Benefits,3.15,0
2024-02-01,Taxes,2.1,0
2024-03-01,Wages,5.4,0
2024-03-01,Benefits,3.3,0
2024-03-01,Taxes,2.2,0
2024-04-01,Wages,5.6,0
2024-04-01,Benefits,3.45,0
2024-04-01,Taxes,2.3,0
2024-05-01,Wages,5.8,1
2024-05-01,Benefits,3.6,1
2024-05-01,Taxes,2.4,1
2024-06-01,Wages,6.0,1
2024-06-01,Benefits,3.75,1
2024-06-01,Taxes,2.5,1
2024-07-01,Wages,6.2,0
2024-07-01,Benefits,3.9,0
2024-07-01,Taxes,2.6,0
2024-08-01,Wages,6.4,0
2024-08-01,Benefits,4.05,0
2024-08-01,Taxes,2.7,0
2024-09-01,Wages,6.6,0
2024-09-01,Benefits,4.2,0
2024-09-01,Taxes,2.8,0
2024-10-01,Wages,6.8,0
2024-10-01,Benefits,4.35,0
2024-10-01,Taxes,2.9,0
2024-11-01,Wages,7.0,1
2024-11-01,Benefits,4.5,1
2024-11-01,Taxes,3.0,1
2024-12-01,Wages,7.2,1
2024-12-01,Benefits,4.65,1
2024-12-01,Taxes,3.1,1
